TYPE,BRAND,FLEET,QAIG,REG/PLAT,MODEL,CAPACITY,CHASIS,FLEET S/N,OWNERSHIP,REMARKS
TYPE-> TRUCK,BRAND-> MAN,FLEET-> T-8584,QAIG-TH-022,REG/PLATE-> 189506,MODEL-> TGA33.400,N/A,CHASIS-> WMAHW2ZZ47M477128,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRUCK,BRAND-> MAN,FLEET-> T-2354,QAIG-TH-028,REG/PLATE-> 35816,MODEL-> TGA41.480,N/A,CHASIS-> WMAH94ZZ28L051643,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRUCK,BRAND-> VOLVO,FLEET-> T-0609,QAIG-TH-074,REG/PLATE-> 298474,MODEL-> -FMX460,N/A,CHASIS-> YVZXG20A2PB405943,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> TRUCK,BRAND-> VOLVO,FLEET-> T-0613,QAIG-TH-075,REG/PLATE-> 294242,MODEL-> -FMX460,N/A,CHASIS-> YVZXG20A9PB405874,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> TRUCK,BRAND-> VOLVO,FLEET-> T-0614,QAIG-TH-076,REG/PLATE-> 298958,MODEL-> -FMX460,N/A,CHASIS-> YVZXG20A7PB410135,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> TRAILER,BRAND-> QVSF-QATAR,FLEET-> T-0567,QAIG-TR-077,REG/PLATE-> 49080,MODEL-> 2-AXLE-FLATBED,N/A,CHASIS-> QVSF2023-01094,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> TRAILER,BRAND-> QVSF-QATAR,FLEET-> T-0568,QAIG-TR-078,REG/PLATE-> 49081,MODEL-> 2-AXLE-FLATBED,N/A,CHASIS-> QVSF2023-01095,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> TRAILER,BRAND-> QVSF-QATAR,FLEET-> T-0569,QAIG-TR-079,REG/PLATE-> 49082,MODEL-> 2-AXLE-FLATBED,N/A,CHASIS-> QVSF2023-01096,S/N-> N/A,OWNERSHIP-> QATAR-AL-ATTIYAH,
TYPE-> TRAILER,BRAND-> LOAD-KING,FLEET-> T-6868,QAIG-TR-076,REG/PLATE-> 49034,MODEL-> -4-AXLE-LOWBED,N/A,CHASIS-> UAE4S0121A080535,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
TYPE-> TRAILER,BRAND-> LOAD-KING,FLEET-> T-8258,QAIG-TR-072,REG/PLATE-> 48569,MODEL-> 2-AXLE-FLATBED,N/A,CHASIS-> UAE2S0121A043819,S/N-> N/A,OWNERSHIP-> SARENS-GULF,
